dataset_source,model_key,model_random_seed,baseline_model_key,baseline_random_seed,track,reporting_phase,model_success_observation_count,baseline_success_observation_count,paired_observation_count,paired_count,model_mae,baseline_mae,mae_difference,relative_mae_improvement_pct,ci_95_lower,ci_95_upper,comparison_status,comparison_reason,significance_status,comparison_method,bootstrap_samples,minimum_paired_observations
bdg2,catboost,17,deterministic_baseline,0.0,unseen_entity,H03_05,50,50,50,50,37559.57545167348,32073.608401999994,5485.967049673479,-17.104302643201823,-16806.559432863043,29942.47295899357,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,29,deterministic_baseline,0.0,unseen_entity,H03_05,50,50,50,50,38314.870989151306,32073.608401999994,6241.262587151304,-19.459184351587112,-18315.836323595235,30301.352038534103,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,43,deterministic_baseline,0.0,unseen_entity,H03_05,50,50,50,50,40538.44528768803,32073.608401999994,8464.836885688035,-26.391906952259852,-11758.762869412365,32829.61476781325,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,17,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,21857.015668561846,9622.41812857143,12234.597539990418,-127.14680838554247,6926.232795715304,18179.431385005693,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,29,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,17899.94121672144,9622.41812857143,8277.523088150007,-86.02331532000173,3620.9268342009905,13925.99019586677,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,43,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,18684.420563366893,9622.41812857143,9062.00243479547,-94.17593700161557,2703.7778616453224,15471.619956673992,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,17,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,19733.926311621413,16688.690645442177,3045.235666179238,-18.24730130647437,-247.9279855924241,5784.702786405792,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,29,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,18812.723602570477,16688.690645442177,2124.032957128299,-12.727379290887578,-939.706672581033,4864.746691549415,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,catboost,43,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,22241.32478644204,16688.690645442177,5552.634140999866,-33.27183815056417,2270.494073844569,8339.44893416042,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,seen_entity,H00,0,0,0,0,,,,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,seen_entity,H00,0,0,0,0,,,,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,seen_entity,H00,0,0,0,0,,,,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,seen_entity,H01_02,0,312,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,seen_entity,H01_02,0,312,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,seen_entity,H01_02,0,312,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,seen_entity,H03_05,0,308,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,seen_entity,H03_05,0,308,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,seen_entity,H03_05,0,308,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,seen_entity,H06_12,460,460,460,460,9595.110655319542,8157.480311956524,1437.6303433630217,-17.623460779376508,-1510.5449416086394,5663.504747230383,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,seen_entity,H06_12,460,460,460,460,8152.485870712603,8157.480311956524,-4.994441243918466,0.06122529326366169,-2218.816829025729,3276.5862741834994,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,seen_entity,H06_12,460,460,460,460,8746.741179368435,8157.480311956524,589.2608674119123,-7.223564690045574,-1774.6381238026206,4136.17718024542,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,seen_entity,H13_PLUS,4902,4902,4902,4902,12907.087721371108,14235.109729885764,-1328.0220085146539,9.329201064931397,-2377.155608966118,-298.4224817866452,OK,paired cohort meets minimum sample count,MODEL_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,seen_entity,H13_PLUS,4902,4902,4902,4902,13622.807680723306,14235.109729885764,-612.3020491624553,4.301351101473885,-1725.4895641594628,433.91922248666094,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,seen_entity,H13_PLUS,4902,4902,4902,4902,13944.716601495953,14235.109729885764,-290.39312838980646,2.0399781519080804,-1378.9406077969345,710.860440941433,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,unseen_entity,H00,0,0,0,0,,,,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,unseen_entity,H00,0,0,0,0,,,,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,unseen_entity,H00,0,0,0,0,,,,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,unseen_entity,H01_02,0,55,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,unseen_entity,H01_02,0,55,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,unseen_entity,H01_02,0,55,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,unseen_entity,H03_05,0,50,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,unseen_entity,H03_05,0,50,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,unseen_entity,H03_05,0,50,0,0,,,,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,6503.414826841517,9622.41812857143,-3119.0033017299106,32.41392402673493,-8302.502697575954,805.3602653290832,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,7167.490139285715,9622.41812857143,-2454.927989285715,25.51258900292852,-7060.19879723416,808.7188545036577,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,7422.10672689112,9622.41812857143,-2200.3114016803083,22.866512058408894,-6773.508916105379,1113.3847130030044,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,17,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,13544.528560770024,16688.690645442177,-3144.1620846721535,18.840076501333254,-6706.953652104686,-72.5206553449462,OK,paired cohort meets minimum sample count,MODEL_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,29,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,15162.419834082542,16688.690645442177,-1526.270811359636,9.145539597958047,-5154.266385368803,1649.7742438082305,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,deepar,43,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,15250.29127460933,16688.690645442177,-1438.3993708328467,8.619006735712285,-5088.124072723359,2140.070248109571,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,seen_entity,H01_02,312,312,312,312,22198.03915302405,9647.136059935898,12550.903093088147,-130.09978313886813,10007.869829172947,15231.813695513367,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,seen_entity,H01_02,312,312,312,312,22198.03915302405,9647.136059935898,12550.903093088153,-130.09978313886813,9950.990100912131,15474.623678514374,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,seen_entity,H01_02,312,312,312,312,22198.03915302405,9647.136059935898,12550.903093088154,-130.09978313886813,10068.274822110914,15562.631080597157,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,seen_entity,H03_05,308,308,308,308,19017.392471448937,11202.79594935065,7814.596522098288,-69.7557695188695,4837.804700310711,10533.487963328666,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,seen_entity,H03_05,308,308,308,308,19017.392471448948,11202.79594935065,7814.596522098298,-69.7557695188696,4673.529520217087,10394.12071071424,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,seen_entity,H03_05,308,308,308,308,19017.392471448955,11202.79594935065,7814.596522098302,-69.75576951886966,5008.8341727149855,10608.70051844004,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,seen_entity,H06_12,460,460,460,460,17190.51867380587,8157.480311956524,9033.038361849345,-110.73319231441484,5966.135130231539,11985.490279321399,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,seen_entity,H06_12,460,460,460,460,17190.518673805873,8157.480311956524,9033.03836184935,-110.73319231441488,6092.292236036602,12036.954145437476,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,seen_entity,H06_12,460,460,460,460,17190.51867380587,8157.480311956524,9033.038361849347,-110.73319231441484,6362.956463631194,12148.549842051436,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,seen_entity,H13_PLUS,4902,4902,4902,4902,20029.835628379595,14235.109729885764,5794.725898493832,-40.70727945516394,4824.078367735461,6660.82110139327,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,seen_entity,H13_PLUS,4902,4902,4902,4902,20029.835628379595,14235.109729885764,5794.725898493835,-40.70727945516394,4822.207303096184,6737.111947727353,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,seen_entity,H13_PLUS,4902,4902,4902,4902,20036.453285383453,14235.109729885764,5801.34355549769,-40.75376773048763,4838.069830412228,6753.18806367401,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,unseen_entity,H00,901,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,unseen_entity,H00,901,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,unseen_entity,H00,901,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,unseen_entity,H01_02,55,55,55,55,30796.06559165018,16116.989532727273,14679.076058922905,-91.07827506567196,5602.750137493251,24952.221386415848,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,unseen_entity,H01_02,55,55,55,55,30796.065591650186,16116.989532727273,14679.076058922912,-91.07827506567202,6566.819075138543,25546.006813653225,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,unseen_entity,H01_02,55,55,55,55,30796.06559165017,16116.989532727273,14679.076058922903,-91.07827506567192,6329.645021583937,25939.962541026172,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,unseen_entity,H03_05,50,50,50,50,38015.31480829794,32073.608401999994,5941.706406297944,-18.525219650457046,-10162.458849167262,18844.051404243957,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,unseen_entity,H03_05,50,50,50,50,38015.31480829795,32073.608401999994,5941.706406297955,-18.52521965045709,-10009.67277372825,19185.60713184002,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,unseen_entity,H03_05,50,50,50,50,38015.314808297946,32073.608401999994,5941.706406297952,-18.525219650457068,-10063.030958220932,19073.09835657971,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,15450.797004213178,9622.41812857143,5828.378875641748,-60.57083362794011,-976.6515506357354,11063.6039807994,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,15450.797004213176,9622.41812857143,5828.378875641746,-60.57083362794009,-674.4617238269374,10766.933164932769,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,unseen_entity,H06_12,63,63,63,63,15450.797004213164,9622.41812857143,5828.378875641734,-60.570833627939955,-185.90266787213343,11587.971988299927,OK,paired cohort meets minimum sample count,NO_DETECTED_DIFFERENCE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,17,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,22717.218688273042,16688.690645442177,6028.528042830866,-36.123433353217,1451.847407350336,10378.636306703309,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,29,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,22800.792239982115,16688.690645442177,6112.1015945399395,-36.62421291396641,1532.8353453344066,9765.793569486274,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,gradient_boosting,43,deterministic_baseline,0.0,unseen_entity,H13_PLUS,735,735,735,735,22833.517010713324,16688.690645442177,6144.826365271148,-36.82030241808904,1886.248850017494,10066.084843740868,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,lightgbm,17,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,lightgbm,29,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
bdg2,lightgbm,43,deterministic_baseline,0.0,seen_entity,H00,5958,0,0,0,,,,,,,NO_COMMON_COHORT,baseline has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,1000,30
