model_key,family,eligible_phases,micro_wmape,micro_mae_kwh,common_cohort_wmape,coverage,composite_score,composite_rank,portfolio_selected,routing_assignment,artifact_format,artifact_count,total_predictions,successful,skipped,failed,failure_rate,inference_latency_ms,peak_memory_mb,stability_score,readiness_score,notes
deterministic_baseline,rule-based,"H01_02,H03_05,H06_12,H13_PLUS",0.2202,43146.45,0.2269,4/5,0.9057,1,yes,H01_02,N/A (stateless),N/A,17148,10287,6861,0,0.0%,0.079,0.0,1.000,1.00,"Mandatory fallback; formula: 1-val=repeat, 2-val=linear extrap, 3+=0.75*trend+0.25*WMA"
ridge,linear,"H00,H01_02,H03_05,H06_12,H13_PLUS",0.3761,59283.76,0.2391,5/5,0.8575,2,yes,fallback reserve,sklearn Pipeline (joblib),12,51444,51438,6,0,0.0%,0.005,973.0,1.000,1.00,"4 alpha candidates; validation-selected; 91 transformed features"
gradient_boosting,ensemble,"H00,H01_02,H03_05,H06_12,H13_PLUS",0.4033,63568.39,0.2838,5/5,0.7858,3,no,N/A,sklearn Pipeline (joblib),12,51444,51438,6,0,0.0%,0.006,975.5,0.999,1.00,"4 configs; validation-selected; excluded from portfolio by capacity"
nbeats,neural,"H06_12,H13_PLUS",0.1773,35876.78,0.1777,2/5,0.7805,4,yes,"H06_12,H13_PLUS",PyTorch checkpoint,12,51444,28500,22944,0,0.0%,4.405,1036.6,0.952,0.50,"MAE loss; 6-month context; requires >=6 months history"
lightgbm,ensemble,"H00,H01_02,H03_05,H06_12,H13_PLUS",0.3294,51930.46,0.2799,5/5,0.7357,5,yes,"H00,H03_05",sklearn ColumnTransformer+LGBMRegressor (joblib),12,51444,51438,6,0,0.0%,0.012,981.9,0.994,0.50,"deterministic=True; L1 objective; 2 configs"
deepar,neural,"H06_12,H13_PLUS",0.2289,46327.44,0.2317,2/5,0.7226,6,no,N/A,PyTorch checkpoint,12,51444,28500,22944,0,0.0%,1.880,1055.0,0.997,0.50,"NormalDistributionLoss; 80% coverage=54.25% (severely miscalibrated); excluded"
catboost,ensemble,"H00,H01_02,H03_05,H06_12,H13_PLUS",0.6393,100775.55,0.5180,5/5,0.3889,7,no,N/A,CatBoostRegressor (native),12,51444,51438,6,0,0.0%,0.005,977.7,0.991,0.50,"Significantly worse than baseline across all phases; all paired tests show BASELINE_LOWER_MAE"
