model_key,model_random_seed,baseline_model_key,baseline_random_seed,track,reporting_phase,model_success_observation_count,baseline_success_observation_count,paired_observation_count,paired_count,mae_difference,ci_95_lower,ci_95_upper,comparison_status,comparison_reason,significance_status,comparison_method,bootstrap_samples,minimum_paired_observations
catboost,17,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,113449.72962954253,106294.599129682,119954.12467099246,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,29,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,115992.78688811696,107260.8216531137,123878.52320558346,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
catboost,43,deterministic_baseline,0,unseen_entity,H13_PLUS,1151,1151,1151,1151,118440.59351442243,111843.84908272699,126552.04748411341,OK,paired cohort meets minimum sample count,BASELINE_LOWER_MAE,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,seen_entity,H00,0,0,0,0,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,seen_entity,H00,0,0,0,0,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,seen_entity,H00,0,0,0,0,,,,NO_COMMON_COHORT,model and baseline have no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,seen_entity,H01_02,0,316,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,29,deterministic_baseline,0,seen_entity,H01_02,0,316,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,43,deterministic_baseline,0,seen_entity,H01_02,0,316,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
deepar,17,deterministic_baseline,0,seen_entity,H03_05,0,355,0,0,,,,NO_COMMON_COHORT,model has no successful predictions,NOT_TESTED,paired_observation_bootstrap_mean_absolute_error,500,30
