model_key,track,reporting_phase,random_seed,status,failure_reason,ineligibility_reason,prediction_micro_count,eligible
lightgbm,unseen_entity,H03_05,43,SUCCESS,,,59,True
lightgbm,unseen_entity,H06_12,17,SUCCESS,,,81,True
lightgbm,unseen_entity,H06_12,29,SUCCESS,,,81,True
lightgbm,unseen_entity,H06_12,43,SUCCESS,,,81,True
lightgbm,unseen_entity,H13_PLUS,17,SUCCESS,,,1151,True
lightgbm,unseen_entity,H13_PLUS,29,SUCCESS,,,1151,True
lightgbm,unseen_entity,H13_PLUS,43,SUCCESS,,,1151,True
nbeats,seen_entity,H00,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
nbeats,seen_entity,H00,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
nbeats,seen_entity,H00,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,5959,False
nbeats,seen_entity,H01_02,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
nbeats,seen_entity,H01_02,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
nbeats,seen_entity,H01_02,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,316,False
nbeats,seen_entity,H03_05,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
nbeats,seen_entity,H03_05,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
nbeats,seen_entity,H03_05,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,355,False
nbeats,seen_entity,H06_12,17,SUCCESS,,,616,True
nbeats,seen_entity,H06_12,29,SUCCESS,,,616,True
nbeats,seen_entity,H06_12,43,SUCCESS,,,616,True
nbeats,seen_entity,H13_PLUS,17,SUCCESS,,,7652,True
nbeats,seen_entity,H13_PLUS,29,SUCCESS,,,7652,True
nbeats,seen_entity,H13_PLUS,43,SUCCESS,,,7652,True
nbeats,unseen_entity,H00,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
nbeats,unseen_entity,H00,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
nbeats,unseen_entity,H00,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,902,False
nbeats,unseen_entity,H01_02,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
nbeats,unseen_entity,H01_02,29,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
nbeats,unseen_entity,H01_02,43,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,57,False
nbeats,unseen_entity,H03_05,17,SKIPPED,,MINIMUM_CONTEXT_6_MONTHS,59,False
