reporting_phase,track,model_key,prediction_micro_count,eligible_prediction_micro_count,successful_prediction_micro_count,skipped_prediction_micro_count,failed_prediction_micro_count,micro_wmape,micro_mae,failure_reason_counts,ineligibility_reason_counts,common_cohort_observation_count,common_cohort_wmape,is_phase_champion,is_common_cohort_champion,is_product_routing_recommendation,available_cohort_rank,common_cohort_rank
H13_PLUS,seen_entity,gradient_boosting,22956,22956,22956,0,0,0.2794185485278703,62385.86101432591,"{""<NONE>"":22956}","{""<NONE>"":22956}",,,False,False,False,5.0,
H13_PLUS,seen_entity,lightgbm,22956,22956,22956,0,0,0.28431549684076013,63479.20409570625,"{""<NONE>"":22956}","{""<NONE>"":22956}",,,False,False,False,6.0,
H13_PLUS,seen_entity,catboost,22956,22956,22956,0,0,0.51181629499832,114273.37380734975,"{""<NONE>"":22956}","{""<NONE>"":22956}",,,False,False,False,7.0,
H13_PLUS,unseen_entity,lightgbm,3453,3453,3453,0,0,0.1613227577892402,22625.96899864277,"{""<NONE>"":3453}","{""<NONE>"":3453}",,,False,False,False,1.0,
H13_PLUS,unseen_entity,nbeats,3453,3453,3453,0,0,0.17426592619889797,24441.28465028644,"{""<NONE>"":3453}","{""<NONE>"":3453}",,,False,False,False,2.0,
H13_PLUS,unseen_entity,deepar,3453,3453,3453,0,0,0.20143425965969766,28251.71957622497,"{""<NONE>"":3453}","{""<NONE>"":3453}",,,False,False,False,3.0,
H13_PLUS,unseen_entity,deterministic_baseline,1151,1151,1151,0,0,0.20932849883386764,29358.908749472255,"{""<NONE>"":1151}","{""<NONE>"":1151}",,,False,False,False,4.0,
H13_PLUS,unseen_entity,ridge,3453,3453,3453,0,0,0.28215050107246986,39572.39869750737,"{""<NONE>"":3453}","{""<NONE>"":3453}",,,False,False,False,5.0,
H13_PLUS,unseen_entity,gradient_boosting,3453,3453,3453,0,0,0.34773039501257313,48770.16265565626,"{""<NONE>"":3453}","{""<NONE>"":3453}",,,False,False,False,6.0,
H13_PLUS,unseen_entity,catboost,3453,3453,3453,0,0,1.0361286342894236,145319.94542683288,"{""<NONE>"":3453}","{""<NONE>"":3453}",,,False,False,False,7.0,
